Agent,Cond,n,n2,mI_mean,mI_sd,mIr2_mean,mIr2_sd
Human,All,87,86,0.18632765851893934,0.10462703739356166,0.21269416267481156,0.12240491981551989
Human,2C,87,85,0.16178839741962636,0.13062952943751008,0.21064292491045827,0.18047692645666863
Human,4C,87,84,0.20868915399861926,0.1386082187143625,0.2724508978936224,0.17480099228672044
Human,OP,87,86,0.34272288465165696,0.20292958180910234,0.3652911984054032,0.21012174180392723
GPT,All,87,87,0.060566397686854206,0.030867116617175065,0.09695235856912411,0.04804217348938177
GPT,2C,87,87,0.14285807285660976,0.09405924675995854,0.2731784765601728,0.17365550394116502
GPT,4C,87,87,0.04840274493725985,0.023220290056863435,0.08962917685200901,0.03698722825614769
GPT,OP,87,87,0.21380801046431824,0.12472311909524933,0.28993079147401607,0.1741381365375309
