Agent,Cond,mean_al,sd_al
Human,2C,0.7304597701149426,0.1147181383640529
Human,4C,0.7316091954022989,0.11766006972411935
Human,OP,0.5172413793103449,0.1448390418198238
GPT,2C,0.8741379310344828,0.035651795484253
GPT,4C,0.8758620689655172,0.026261286571944518
GPT,OP,0.7816091954022989,0.04707425018776662
