Agent,Cond,AgentID,Mean_conf
GPT,2C,18,96.5
GPT,2C,19,96.75
GPT,2C,20,95.75
GPT,2C,21,95.25
GPT,2C,22,94.25
GPT,2C,23,94.5
GPT,2C,24,94.65
GPT,2C,25,93.75
GPT,2C,26,95
GPT,2C,27,95.25
GPT,2C,28,96.25
GPT,2C,29,96
GPT,2C,30,94.5
GPT,2C,31,95.5
GPT,2C,32,94.5
GPT,2C,33,98
GPT,2C,34,95
GPT,2C,35,94.75
GPT,2C,36,95.5
GPT,2C,37,93.25
GPT,2C,38,95
GPT,2C,39,95
GPT,2C,40,95
GPT,2C,41,95
GPT,2C,42,95.75
GPT,2C,43,96
GPT,2C,44,95.5
GPT,2C,45,96.75
GPT,2C,46,93.5
GPT,2C,47,95.25
GPT,2C,48,95
GPT,2C,49,96.75
GPT,2C,50,96.25
GPT,2C,51,95.25
GPT,2C,52,93.5
GPT,2C,53,95.75
GPT,2C,54,95.5
GPT,2C,55,94.25
GPT,2C,56,96.5
GPT,2C,57,94.25
GPT,2C,58,95.5
GPT,2C,59,94.75
GPT,2C,60,93.5
GPT,2C,61,93.5
GPT,2C,62,94.5
GPT,2C,63,94.5
GPT,2C,64,95.5
GPT,2C,65,95
GPT,2C,66,96.75
GPT,2C,67,95.5
GPT,2C,68,93.75
GPT,2C,69,93
GPT,2C,70,96.25
GPT,2C,71,95.5
GPT,2C,72,94.25
GPT,2C,73,93.35
GPT,2C,74,95.25
GPT,2C,75,95.5
GPT,2C,76,96.75
GPT,2C,77,94
GPT,2C,78,94.5
GPT,2C,79,94
GPT,2C,80,94.5
GPT,2C,81,96.5
GPT,2C,82,96
GPT,2C,83,95
GPT,2C,84,94.25
GPT,2C,85,96.5
GPT,2C,86,96.75
GPT,2C,87,95.5
GPT,4C,1,97
GPT,4C,2,97
GPT,4C,3,95.75
GPT,4C,4,97.5
GPT,4C,5,97.75
GPT,4C,6,96
GPT,4C,7,95.5
GPT,4C,8,95.4
GPT,4C,9,96.5
GPT,4C,10,96.25
GPT,4C,11,97.75
GPT,4C,12,96.5
GPT,4C,13,97.5
GPT,4C,14,97.25
GPT,4C,15,97.75
GPT,4C,16,97.25
GPT,4C,17,98
GPT,4C,18,97
GPT,4C,19,96.25
GPT,4C,20,97
GPT,4C,21,95.75
GPT,4C,22,97.5
GPT,4C,23,99
GPT,4C,24,96.75
GPT,4C,25,96.5
GPT,4C,26,95.25
GPT,4C,27,97.25
GPT,4C,28,96.25
GPT,4C,29,96.25
GPT,4C,30,97.5
GPT,4C,31,98
GPT,4C,32,97.5
GPT,4C,33,97
GPT,4C,34,97.25
GPT,4C,35,98
GPT,4C,36,96.75
GPT,4C,37,96.75
GPT,4C,38,96
GPT,4C,39,96.5
GPT,4C,40,97.5
GPT,4C,41,97
GPT,4C,42,96.75
GPT,4C,43,96
GPT,4C,44,96.75
GPT,4C,45,97
GPT,4C,46,96.25
GPT,4C,47,96.9
GPT,4C,48,97.5
GPT,4C,49,95.75
GPT,4C,50,96.25
GPT,4C,51,97.5
