Agent,Cond,mean_al,sd_al
Human,2C,72.03908045977012,14.598847966031819
Human,4C,70.4396551724138,15.434255050033311
Human,OP,55.711494252873564,16.27745927039553
GPT,2C,95.27758620689656,1.084557530095389
GPT,4C,96.71436781609195,0.8460203707886471
GPT,OP,93.44942528735632,1.1972229070313334
