cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,Human,OP,20,12,8,12,8,2,6,Human,OP,0.9709505944546686,1,0.8112781244591328,0.04643934467101546,0.04782874116998504
1,Human,OP,20,12,8,12,8,2,6,Human,OP,0.9709505944546686,1,0.8112781244591328,0.04643934467101546,0.04782874116998504
2,Human,OP,20,12,8,12,8,2,6,Human,OP,0.9709505944546686,1,0.8112781244591328,0.04643934467101546,0.04782874116998504
3,Human,OP,20,12,8,12,8,2,6,Human,OP,0.9709505944546686,1,0.8112781244591328,0.04643934467101546,0.04782874116998504
4,Human,OP,20,12,8,12,8,2,6,Human,OP,0.9709505944546686,1,0.8112781244591328,0.04643934467101546,0.04782874116998504
5,Human,OP,20,12,8,12,8,2,6,Human,OP,0.9709505944546686,1,0.8112781244591328,0.04643934467101546,0.04782874116998504
6,Human,OP,20,12,8,12,8,2,6,Human,OP,0.9709505944546686,1,0.8112781244591328,0.04643934467101546,0.04782874116998504
7,Human,OP,20,12,8,12,8,2,6,Human,OP,0.9709505944546686,1,0.8112781244591328,0.04643934467101546,0.04782874116998504
8,Human,OP,20,12,8,12,8,2,6,Human,OP,0.9709505944546686,1,0.8112781244591328,0.04643934467101546,0.04782874116998504
9,Human,OP,20,11,9,12,8,2,6,Human,OP,0.9709505944546686,0.9940302114769565,0.7642045065086203,0.0803419502134633,0.08274566252115753
10,Human,OP,20,7,13,12,8,3,5,Human,OP,0.9709505944546686,0.863120568566631,0.7793498372920851,0.16228100121649247,0.16713620872505577
11,Human,OP,20,7,13,12,8,3,5,Human,OP,0.9709505944546686,0.863120568566631,0.7793498372920851,0.16228100121649247,0.16713620872505577
12,Human,OP,20,7,13,12,8,3,5,Human,OP,0.9709505944546686,0.863120568566631,0.7793498372920851,0.16228100121649247,0.16713620872505577
13,Human,OP,20,7,13,12,8,3,5,Human,OP,0.9709505944546686,0.863120568566631,0.7793498372920851,0.16228100121649247,0.16713620872505577
14,Human,OP,20,7,13,12,8,3,5,Human,OP,0.9709505944546686,0.863120568566631,0.7793498372920851,0.16228100121649247,0.16713620872505577
15,Human,OP,20,7,13,12,8,3,5,Human,OP,0.9709505944546686,0.863120568566631,0.7793498372920851,0.16228100121649247,0.16713620872505577
16,Human,OP,20,7,13,12,8,3,5,Human,OP,0.9709505944546686,0.863120568566631,0.7793498372920851,0.16228100121649247,0.16713620872505577
17,Human,OP,20,7,13,12,8,3,5,Human,OP,0.9709505944546686,0.863120568566631,0.7793498372920851,0.16228100121649247,0.16713620872505577
18,Human,OP,20,7,13,12,8,3,5,Human,OP,0.9709505944546686,0.863120568566631,0.7793498372920851,0.16228100121649247,0.16713620872505577
19,Human,OP,20,7,13,12,8,3,5,Human,OP,0.9709505944546686,0.863120568566631,0.7793498372920851,0.16228100121649247,0.16713620872505577
20,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
21,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
22,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
23,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
24,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
25,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
26,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
27,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
28,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
29,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
30,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
31,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
32,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
33,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
34,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
35,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
36,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
37,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
38,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
39,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
40,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
41,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
42,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
43,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
44,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
45,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
46,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
47,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
48,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
49,Human,OP,20,6,14,12,8,4,4,Human,OP,0.9709505944546686,0.9182958340544896,0.863120568566631,0.0912774462416801,0.0940083324146331
50,Human,OP,20,5,15,12,8,4,4,Human,OP,0.9709505944546686,0.7219280948873623,0.8366407419411672,0.16298801427695264,0.16786437457046346
51,Human,OP,20,5,15,12,8,4,4,Human,OP,0.9709505944546686,0.7219280948873623,0.8366407419411672,0.16298801427695264,0.16786437457046346
52,Human,OP,20,5,15,12,8,4,4,Human,OP,0.9709505944546686,0.7219280948873623,0.8366407419411672,0.16298801427695264,0.16786437457046346
53,Human,OP,20,5,15,12,8,4,4,Human,OP,0.9709505944546686,0.7219280948873623,0.8366407419411672,0.16298801427695264,0.16786437457046346
