cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,Human,OP,20,20,0,8,12,0,12,Human,OP,0.9709505944546686,0.9709505944546686,0,0,0
1,Human,OP,20,20,0,8,12,0,12,Human,OP,0.9709505944546686,0.9709505944546686,0,0,0
2,Human,OP,20,20,0,8,12,0,12,Human,OP,0.9709505944546686,0.9709505944546686,0,0,0
3,Human,OP,20,20,0,8,12,0,12,Human,OP,0.9709505944546686,0.9709505944546686,0,0,0
4,Human,OP,20,20,0,8,12,0,12,Human,OP,0.9709505944546686,0.9709505944546686,0,0,0
5,Human,OP,20,20,0,8,12,0,12,Human,OP,0.9709505944546686,0.9709505944546686,0,0,0
6,Human,OP,20,20,0,8,12,0,12,Human,OP,0.9709505944546686,0.9709505944546686,0,0,0
7,Human,OP,20,20,0,8,12,0,12,Human,OP,0.9709505944546686,0.9709505944546686,0,0,0
8,Human,OP,20,20,0,8,12,0,12,Human,OP,0.9709505944546686,0.9709505944546686,0,0,0
9,Human,OP,20,20,0,8,12,0,12,Human,OP,0.9709505944546686,0.9709505944546686,0,0,0
10,Human,OP,20,17,3,8,12,0,12,Human,OP,0.9709505944546686,0.8739810481273578,0,0.22806670354641445,0.2348901219577577
11,Human,OP,20,17,3,8,12,0,12,Human,OP,0.9709505944546686,0.8739810481273578,0,0.22806670354641445,0.2348901219577577
12,Human,OP,20,17,3,8,12,0,12,Human,OP,0.9709505944546686,0.8739810481273578,0,0.22806670354641445,0.2348901219577577
13,Human,OP,20,17,3,8,12,0,12,Human,OP,0.9709505944546686,0.8739810481273578,0,0.22806670354641445,0.2348901219577577
14,Human,OP,20,17,3,8,12,0,12,Human,OP,0.9709505944546686,0.8739810481273578,0,0.22806670354641445,0.2348901219577577
15,Human,OP,20,17,3,8,12,0,12,Human,OP,0.9709505944546686,0.8739810481273578,0,0.22806670354641445,0.2348901219577577
16,Human,OP,20,17,3,8,12,0,12,Human,OP,0.9709505944546686,0.8739810481273578,0,0.22806670354641445,0.2348901219577577
17,Human,OP,20,17,3,8,12,0,12,Human,OP,0.9709505944546686,0.8739810481273578,0,0.22806670354641445,0.2348901219577577
18,Human,OP,20,17,3,8,12,0,12,Human,OP,0.9709505944546686,0.8739810481273578,0,0.22806670354641445,0.2348901219577577
19,Human,OP,20,17,3,8,12,0,12,Human,OP,0.9709505944546686,0.8739810481273578,0,0.22806670354641445,0.2348901219577577
20,Human,OP,20,16,4,8,12,0,12,Human,OP,0.9709505944546686,0.8112781244591328,0,0.3219280948873623,0.33155970728682876
21,Human,OP,20,16,4,8,12,0,12,Human,OP,0.9709505944546686,0.8112781244591328,0,0.3219280948873623,0.33155970728682876
22,Human,OP,20,16,4,8,12,0,12,Human,OP,0.9709505944546686,0.8112781244591328,0,0.3219280948873623,0.33155970728682876
23,Human,OP,20,16,4,8,12,0,12,Human,OP,0.9709505944546686,0.8112781244591328,0,0.3219280948873623,0.33155970728682876
24,Human,OP,20,16,4,8,12,0,12,Human,OP,0.9709505944546686,0.8112781244591328,0,0.3219280948873623,0.33155970728682876
25,Human,OP,20,16,4,8,12,0,12,Human,OP,0.9709505944546686,0.8112781244591328,0,0.3219280948873623,0.33155970728682876
26,Human,OP,20,16,4,8,12,0,12,Human,OP,0.9709505944546686,0.8112781244591328,0,0.3219280948873623,0.33155970728682876
27,Human,OP,20,16,4,8,12,0,12,Human,OP,0.9709505944546686,0.8112781244591328,0,0.3219280948873623,0.33155970728682876
28,Human,OP,20,16,4,8,12,0,12,Human,OP,0.9709505944546686,0.8112781244591328,0,0.3219280948873623,0.33155970728682876
29,Human,OP,20,16,4,8,12,0,12,Human,OP,0.9709505944546686,0.8112781244591328,0,0.3219280948873623,0.33155970728682876
30,Human,OP,20,13,7,8,12,2,10,Human,OP,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
31,Human,OP,20,13,7,8,12,2,10,Human,OP,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
32,Human,OP,20,13,7,8,12,2,10,Human,OP,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
33,Human,OP,20,13,7,8,12,2,10,Human,OP,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
34,Human,OP,20,13,7,8,12,2,10,Human,OP,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
35,Human,OP,20,13,7,8,12,2,10,Human,OP,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
36,Human,OP,20,13,7,8,12,2,10,Human,OP,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
37,Human,OP,20,13,7,8,12,2,10,Human,OP,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
38,Human,OP,20,13,7,8,12,2,10,Human,OP,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
39,Human,OP,20,13,7,8,12,2,10,Human,OP,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
40,Human,OP,20,12,8,8,12,2,10,Human,OP,0.9709505944546686,0.6500224216483541,0.8112781244591328,0.25642589168200297,0.26409777505314136
41,Human,OP,20,12,8,8,12,2,10,Human,OP,0.9709505944546686,0.6500224216483541,0.8112781244591328,0.25642589168200297,0.26409777505314136
42,Human,OP,20,12,8,8,12,2,10,Human,OP,0.9709505944546686,0.6500224216483541,0.8112781244591328,0.25642589168200297,0.26409777505314136
43,Human,OP,20,12,8,8,12,2,10,Human,OP,0.9709505944546686,0.6500224216483541,0.8112781244591328,0.25642589168200297,0.26409777505314136
44,Human,OP,20,12,8,8,12,2,10,Human,OP,0.9709505944546686,0.6500224216483541,0.8112781244591328,0.25642589168200297,0.26409777505314136
45,Human,OP,20,12,8,8,12,2,10,Human,OP,0.9709505944546686,0.6500224216483541,0.8112781244591328,0.25642589168200297,0.26409777505314136
46,Human,OP,20,12,8,8,12,2,10,Human,OP,0.9709505944546686,0.6500224216483541,0.8112781244591328,0.25642589168200297,0.26409777505314136
47,Human,OP,20,12,8,8,12,2,10,Human,OP,0.9709505944546686,0.6500224216483541,0.8112781244591328,0.25642589168200297,0.26409777505314136
48,Human,OP,20,12,8,8,12,2,10,Human,OP,0.9709505944546686,0.6500224216483541,0.8112781244591328,0.25642589168200297,0.26409777505314136
49,Human,OP,20,12,8,8,12,2,10,Human,OP,0.9709505944546686,0.6500224216483541,0.8112781244591328,0.25642589168200297,0.26409777505314136
50,Human,OP,20,5,15,8,12,8,4,Human,OP,0.9709505944546686,0.7219280948873623,0.9967916319816366,0.04287484674660069,0.044157598740316155
51,Human,OP,20,5,15,8,12,8,4,Human,OP,0.9709505944546686,0.7219280948873623,0.9967916319816366,0.04287484674660069,0.044157598740316155
52,Human,OP,20,5,15,8,12,8,4,Human,OP,0.9709505944546686,0.7219280948873623,0.9967916319816366,0.04287484674660069,0.044157598740316155
53,Human,OP,20,5,15,8,12,8,4,Human,OP,0.9709505944546686,0.7219280948873623,0.9967916319816366,0.04287484674660069,0.044157598740316155
54,Human,OP,20,5,15,8,12,8,4,Human,OP,0.9709505944546686,0.7219280948873623,0.9967916319816366,0.04287484674660069,0.044157598740316155
55,Human,OP,20,5,15,8,12,8,4,Human,OP,0.9709505944546686,0.7219280948873623,0.9967916319816366,0.04287484674660069,0.044157598740316155
56,Human,OP,20,5,15,8,12,8,4,Human,OP,0.9709505944546686,0.7219280948873623,0.9967916319816366,0.04287484674660069,0.044157598740316155
57,Human,OP,20,5,15,8,12,8,4,Human,OP,0.9709505944546686,0.7219280948873623,0.9967916319816366,0.04287484674660069,0.044157598740316155
58,Human,OP,20,5,15,8,12,8,4,Human,OP,0.9709505944546686,0.7219280948873623,0.9967916319816366,0.04287484674660069,0.044157598740316155
59,Human,OP,20,5,15,8,12,8,4,Human,OP,0.9709505944546686,0.7219280948873623,0.9967916319816366,0.04287484674660069,0.044157598740316155
60,Human,OP,20,4,16,8,12,9,3,Human,OP,0.9709505944546686,0.8112781244591328,0.98869940828849745,0.017735442932043988,0.018266061150109338
61,Human,OP,20,4,16,8,12,9,3,Human,OP,0.9709505944546686,0.8112781244591328,0.98869940828849745,0.017735442932043988,0.018266061150109338
62,Human,OP,20,4,16,8,12,9,3,Human,OP,0.9709505944546686,0.8112781244591328,0.98869940828849745,0.017735442932043988,0.018266061150109338
63,Human,OP,20,4,16,8,12,9,3,Human,OP,0.9709505944546686,0.8112781244591328,0.98869940828849745,0.017735442932043988,0.018266061150109338
64,Human,OP,20,4,16,8,12,9,3,Human,OP,0.9709505944546686,0.8112781244591328,0.98869940828849745,0.017735442932043988,0.018266061150109338
65,Human,OP,20,4,16,8,12,9,3,Human,OP,0.9709505944546686,0.8112781244591328,0.98869940828849745,0.017735442932043988,0.018266061150109338
66,Human,OP,20,4,16,8,12,9,3,Human,OP,0.9709505944546686,0.8112781244591328,0.98869940828849745,0.017735442932043988,0.018266061150109338
67,Human,OP,20,4,16,8,12,9,3,Human,OP,0.9709505944546686,0.8112781244591328,0.98869940828849745,0.017735442932043988,0.018266061150109338
68,Human,OP,20,4,16,8,12,9,3,Human,OP,0.9709505944546686,0.8112781244591328,0.98869940828849745,0.017735442932043988,0.018266061150109338
69,Human,OP,20,4,16,8,12,9,3,Human,OP,0.9709505944546686,0.8112781244591328,0.98869940828849745,0.017735442932043988,0.018266061150109338
70,Human,OP,20,3,17,8,12,10,2,Human,OP,0.9709505944546686,0.9182958340544896,0.9774178175281716,0.002401074447549334,0.002472911043324393
71,Human,OP,20,3,17,8,12,10,2,Human,OP,0.9709505944546686,0.9182958340544896,0.9774178175281716,0.002401074447549334,0.002472911043324393
72,Human,OP,20,3,17,8,12,10,2,Human,OP,0.9709505944546686,0.9182958340544896,0.9774178175281716,0.002401074447549334,0.002472911043324393
73,Human,OP,20,3,17,8,12,10,2,Human,OP,0.9709505944546686,0.9182958340544896,0.9774178175281716,0.002401074447549334,0.002472911043324393
74,Human,OP,20,3,17,8,12,10,2,Human,OP,0.9709505944546686,0.9182958340544896,0.9774178175281716,0.002401074447549334,0.002472911043324393
75,Human,OP,20,3,17,8,12,10,2,Human,OP,0.9709505944546686,0.9182958340544896,0.9774178175281716,0.002401074447549334,0.002472911043324393
76,Human,OP,20,3,17,8,12,10,2,Human,OP,0.9709505944546686,0.9182958340544896,0.9774178175281716,0.002401074447549334,0.002472911043324393
77,Human,OP,20,3,17,8,12,10,2,Human,OP,0.9709505944546686,0.9182958340544896,0.9774178175281716,0.002401074447549334,0.002472911043324393
