cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,Human,OP,20,20,0,5,15,0,15,Human,OP,0.8112781244591328,0.8112781244591328,0,0,0
1,Human,OP,20,20,0,5,15,0,15,Human,OP,0.8112781244591328,0.8112781244591328,0,0,0
2,Human,OP,20,20,0,5,15,0,15,Human,OP,0.8112781244591328,0.8112781244591328,0,0,0
3,Human,OP,20,20,0,5,15,0,15,Human,OP,0.8112781244591328,0.8112781244591328,0,0,0
4,Human,OP,20,20,0,5,15,0,15,Human,OP,0.8112781244591328,0.8112781244591328,0,0,0
5,Human,OP,20,20,0,5,15,0,15,Human,OP,0.8112781244591328,0.8112781244591328,0,0,0
6,Human,OP,20,20,0,5,15,0,15,Human,OP,0.8112781244591328,0.8112781244591328,0,0,0
7,Human,OP,20,20,0,5,15,0,15,Human,OP,0.8112781244591328,0.8112781244591328,0,0,0
8,Human,OP,20,20,0,5,15,0,15,Human,OP,0.8112781244591328,0.8112781244591328,0,0,0
9,Human,OP,20,20,0,5,15,0,15,Human,OP,0.8112781244591328,0.8112781244591328,0,0,0
10,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
11,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
12,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
13,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
14,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
15,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
16,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
17,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
18,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
19,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
20,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
21,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
22,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
23,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
24,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
25,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
26,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
27,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
28,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
29,Human,OP,20,19,1,5,15,0,15,Human,OP,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
30,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
31,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
32,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
33,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
34,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
35,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
36,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
37,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
38,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
39,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
40,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
41,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
42,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
43,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
44,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
45,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
46,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
47,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
48,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
49,Human,OP,20,18,2,5,15,0,15,Human,OP,0.8112781244591328,0.6500224216483541,0,0.22625794497561413,0.2788907258240902
50,Human,OP,20,12,8,5,15,3,12,Human,OP,0.8112781244591328,0,0.954434002924965,0.4295045232891468,0.5294171139835566
51,Human,OP,20,12,8,5,15,3,12,Human,OP,0.8112781244591328,0,0.954434002924965,0.4295045232891468,0.5294171139835566
52,Human,OP,20,12,8,5,15,3,12,Human,OP,0.8112781244591328,0,0.954434002924965,0.4295045232891468,0.5294171139835566
53,Human,OP,20,12,8,5,15,3,12,Human,OP,0.8112781244591328,0,0.954434002924965,0.4295045232891468,0.5294171139835566
54,Human,OP,20,12,8,5,15,3,12,Human,OP,0.8112781244591328,0,0.954434002924965,0.4295045232891468,0.5294171139835566
55,Human,OP,20,12,8,5,15,3,12,Human,OP,0.8112781244591328,0,0.954434002924965,0.4295045232891468,0.5294171139835566
56,Human,OP,20,12,8,5,15,3,12,Human,OP,0.8112781244591328,0,0.954434002924965,0.4295045232891468,0.5294171139835566
57,Human,OP,20,12,8,5,15,3,12,Human,OP,0.8112781244591328,0,0.954434002924965,0.4295045232891468,0.5294171139835566
58,Human,OP,20,12,8,5,15,3,12,Human,OP,0.8112781244591328,0,0.954434002924965,0.4295045232891468,0.5294171139835566
59,Human,OP,20,12,8,5,15,3,12,Human,OP,0.8112781244591328,0,0.954434002924965,0.4295045232891468,0.5294171139835566
60,Human,OP,20,12,8,5,15,3,12,Human,OP,0.8112781244591328,0,0.954434002924965,0.4295045232891468,0.5294171139835566
