Term,num Df,den Df,MSE,F,ges,Pr(>F)
Agent,1,165,0.019591586937848605,93.73254657838605,0.21021756904738564,7.776220018976406e-18
Cond,1.840966911234316,303.75954035366215,0.012070680234465869,179.84891974535793,0.36679927791789335,1.5954496222622718e-49
Agent:Cond,1.840966911234316,303.75954035366215,0.012070680234465869,161.06723563770302,0.3415784579643797,7.919716233318318e-46
