Agent,Cond,n,AUC_mean,AUC_sd
Humans,ALL,246,0.757183374380974,0.13756460859048994
Humans,2C,81,0.7026715160943245,0.13618724282732547
Humans,4C,81,0.7568019868044593,0.1334487861017269
Humans,OP,84,0.8101161471775967,0.12281228981753306
GPT-4,ALL,261,0.6320765301146337,0.19933876352817576
GPT-4,2C,87,0.725494770352182,0.14567197636003437
GPT-4,4C,87,0.3956966735070717,0.06536938270689316
GPT-4,OP,87,0.7750381464846475,0.09278560541571816
