Term,num Df,den Df,MSE,F,ges,Pr(>F)
Agent,1,172,0.018669250645994822,236.9132740723067,0.4964811655940734,3.5928095778112662e-34
Cond,1.8966783991519365,326.2286846541331,0.003907009420133019,369.30506665864897,0.37891686504910277,4.606441087180803e-82
Agent:Cond,1.8966783991519365,326.2286846541331,0.003907009420133019,56.73313994559065,0.0856916381782787,5.115871895922527e-21
