cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
1,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
2,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
3,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
4,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
5,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
6,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
7,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
8,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
9,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
10,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
11,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
12,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
13,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
14,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
15,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
16,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
17,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
18,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
19,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
20,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
21,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
22,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
23,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
24,Human,4C,20,20,0,8,12,0,12,Human,4C,0.9709505944546686,0.9709505944546686,0,0,0
25,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
26,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
27,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
28,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
29,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
30,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
31,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
32,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
33,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
34,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
35,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
36,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
37,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
38,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
39,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
40,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
41,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
42,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
43,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
44,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
45,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
46,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
47,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
48,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
49,Human,4C,20,18,2,8,12,0,12,Human,4C,0.9709505944546686,0.9182958340544896,0,0.1444843438056279,0.1488071016494687
50,Human,4C,20,14,6,8,12,1,11,Human,4C,0.9709505944546686,0.74959525725948,0.6500224216483541,0.2512271878785264,0.2587435337218444
51,Human,4C,20,14,6,8,12,1,11,Human,4C,0.9709505944546686,0.74959525725948,0.6500224216483541,0.2512271878785264,0.2587435337218444
52,Human,4C,20,14,6,8,12,1,11,Human,4C,0.9709505944546686,0.74959525725948,0.6500224216483541,0.2512271878785264,0.2587435337218444
53,Human,4C,20,14,6,8,12,1,11,Human,4C,0.9709505944546686,0.74959525725948,0.6500224216483541,0.2512271878785264,0.2587435337218444
54,Human,4C,20,14,6,8,12,1,11,Human,4C,0.9709505944546686,0.74959525725948,0.6500224216483541,0.2512271878785264,0.2587435337218444
55,Human,4C,20,14,6,8,12,1,11,Human,4C,0.9709505944546686,0.74959525725948,0.6500224216483541,0.2512271878785264,0.2587435337218444
56,Human,4C,20,14,6,8,12,1,11,Human,4C,0.9709505944546686,0.74959525725948,0.6500224216483541,0.2512271878785264,0.2587435337218444
57,Human,4C,20,14,6,8,12,1,11,Human,4C,0.9709505944546686,0.74959525725948,0.6500224216483541,0.2512271878785264,0.2587435337218444
58,Human,4C,20,14,6,8,12,1,11,Human,4C,0.9709505944546686,0.74959525725948,0.6500224216483541,0.2512271878785264,0.2587435337218444
59,Human,4C,20,14,6,8,12,1,11,Human,4C,0.9709505944546686,0.74959525725948,0.6500224216483541,0.2512271878785264,0.2587435337218444
60,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
61,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
62,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
63,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
64,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
65,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
66,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
67,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
68,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
69,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
70,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
71,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
72,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
73,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
74,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
75,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
76,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
77,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
78,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
79,Human,4C,20,13,7,8,12,2,10,Human,4C,0.9709505944546686,0.7793498372920851,0.863120568566631,0.16228100121649247,0.16713620872505577
80,Human,4C,20,8,12,8,12,5,7,Human,4C,0.9709505944546686,0.5435644431995964,0.9798687566511528,0.16560356318413838,0.1705581768320036
