"","Agent","Cond","AgentID","Mean_CR","Mean_conf"
"175","Human","OP",1,0.4,47.95
"176","Human","OP",2,0.85,100
"177","Human","OP",3,0.65,67.75
"178","Human","OP",4,0.7,68.95
"179","Human","OP",5,0.5,48
"180","Human","OP",6,0.6,42.25
"181","Human","OP",7,0.4,63.5
"182","Human","OP",8,0.35,34.15
"183","Human","OP",9,0.55,60.5
"184","Human","OP",10,0.4,55
"185","Human","OP",11,0.7,53
"186","Human","OP",12,0.25,21.85
"187","Human","OP",13,0.55,77.5
"188","Human","OP",14,0.6,46
"189","Human","OP",15,0.4,26.45
"190","Human","OP",16,0.4,38.75
"191","Human","OP",17,0.45,53
"192","Human","OP",18,0.35,54.5
"193","Human","OP",19,0.7,55.5
"194","Human","OP",20,0.55,52
"195","Human","OP",21,0.6,61
"196","Human","OP",22,0.35,19.45
"197","Human","OP",23,0.45,53
"198","Human","OP",24,1,62
"199","Human","OP",25,0.85,61.9
"200","Human","OP",26,0.5,58.75
"201","Human","OP",27,0.3,29.85
"202","Human","OP",28,0.45,30.6
"203","Human","OP",29,0.6,45.75
"204","Human","OP",30,0.5,52.5
"205","Human","OP",31,0.65,64.3
"206","Human","OP",32,0.55,64
"207","Human","OP",33,0.55,77.5
"208","Human","OP",34,0.6,38.05
"209","Human","OP",35,0.55,100
"210","Human","OP",36,0.35,52.15
"211","Human","OP",37,0.65,73.5
"212","Human","OP",38,0.45,34.5
"213","Human","OP",39,0.35,56
"214","Human","OP",40,0.55,59.2
"215","Human","OP",41,0.35,92.45
"216","Human","OP",42,0.4,41
"217","Human","OP",43,0.75,57
"218","Human","OP",44,0.55,59.25
"219","Human","OP",45,0.45,56
"220","Human","OP",46,0.6,52.5
"221","Human","OP",47,0.4,62.55
"222","Human","OP",48,0.55,62.25
"223","Human","OP",49,0.6,76.5
"224","Human","OP",50,0.45,73.3
"225","Human","OP",51,0.6,54.55
"226","Human","OP",52,0.6,55
"227","Human","OP",53,0.6,60.4
"228","Human","OP",54,0.5,50.75
"229","Human","OP",55,0.6,62
"230","Human","OP",56,0.35,66.5
"231","Human","OP",57,0.4,83.5
"232","Human","OP",58,0.3,30.9
"233","Human","OP",59,0.5,77
"234","Human","OP",60,0.35,70.5
"235","Human","OP",61,0.4,62.5
"236","Human","OP",62,0.5,37.9
"237","Human","OP",63,0.3,24
"238","Human","OP",64,0.45,62
"239","Human","OP",65,0.4,59.9
"240","Human","OP",66,0.65,76.7
"241","Human","OP",67,0.7,65.5
"242","Human","OP",68,0.35,29.55
"243","Human","OP",69,0.4,51.5
"244","Human","OP",70,0.35,66.5
"245","Human","OP",71,0.7,68
"246","Human","OP",72,0.4,32.35
"247","Human","OP",73,0.35,46
"248","Human","OP",74,0.5,50.8
"249","Human","OP",75,0.65,75.25
"250","Human","OP",76,0.55,45.5
"251","Human","OP",77,0.75,71.5
"252","Human","OP",78,0.5,57.9
"253","Human","OP",79,0.65,66.05
"254","Human","OP",80,0.35,32.05
"255","Human","OP",81,0.55,54.85
"256","Human","OP",82,0.55,64.25
"257","Human","OP",83,0.6,41.5
"258","Human","OP",84,0.5,46.5
"259","Human","OP",85,0.65,47.5
"260","Human","OP",86,0.35,45.85
"261","Human","OP",87,0.8,60.5
"262","GPT","2C",1,0.9,97.25
"263","GPT","2C",2,0.85,97.25
"264","GPT","2C",3,0.85,94.75
"265","GPT","2C",4,0.85,97
"266","GPT","2C",5,0.85,97.25
"267","GPT","2C",6,0.9,96.75
"268","GPT","2C",7,0.85,95.25
"269","GPT","2C",8,0.95,96
"270","GPT","2C",9,0.9,94.25
"271","GPT","2C",10,0.9,95.25
"272","GPT","2C",11,0.85,95.75
"273","GPT","2C",12,0.9,97.2
"274","GPT","2C",13,0.9,94.45
"275","GPT","2C",14,0.85,94.75
"276","GPT","2C",15,0.95,95
"277","GPT","2C",16,0.85,94.5
"278","GPT","2C",17,0.85,95.75
"279","GPT","2C",18,0.85,96.5
"280","GPT","2C",19,0.85,96.75
"281","GPT","2C",20,0.85,95.75
"282","GPT","2C",21,0.95,95.25
"283","GPT","2C",22,0.9,94.25
"284","GPT","2C",23,0.9,94.5
"285","GPT","2C",24,0.8,94.65
"286","GPT","2C",25,0.75,93.75
"287","GPT","2C",26,0.9,95
"288","GPT","2C",27,0.85,95.25
"289","GPT","2C",28,0.85,96.25
"290","GPT","2C",29,0.9,96
"291","GPT","2C",30,0.85,94.5
"292","GPT","2C",31,0.85,95.5
"293","GPT","2C",32,0.85,94.5
"294","GPT","2C",33,0.85,98
"295","GPT","2C",34,0.9,95
"296","GPT","2C",35,0.9,94.75
"297","GPT","2C",36,0.9,95.5
"298","GPT","2C",37,0.95,93.25
"299","GPT","2C",38,0.85,95
"300","GPT","2C",39,0.85,95
"301","GPT","2C",40,0.85,95
"302","GPT","2C",41,0.85,95
"303","GPT","2C",42,0.9,95.75
"304","GPT","2C",43,0.85,96
"305","GPT","2C",44,0.85,95.5
"306","GPT","2C",45,0.85,96.75
"307","GPT","2C",46,0.85,93.5
"308","GPT","2C",47,0.8,95.25
"309","GPT","2C",48,0.9,95
"310","GPT","2C",49,0.9,96.75
"311","GPT","2C",50,0.85,96.25
"312","GPT","2C",51,0.85,95.25
"313","GPT","2C",52,0.85,93.5
"314","GPT","2C",53,0.9,95.75
"315","GPT","2C",54,0.85,95.5
