Agent,Cond,mean_ql,sd_ql
Human,2C,72.03908045977012,15.183313102893473
Human,4C,70.4396551724138,14.697015990768241
Human,OP,55.711494252873564,19.169355705108075
GPT,2C,95.27758620689656,6.0234159749573
GPT,4C,96.71436781609195,5.352508028222171
GPT,OP,93.44942528735632,8.241168710464153
