Agent,Cond,mean_ql,sd_ql
Human,2C,0.7304597701149426,0.17777410538515936
Human,4C,0.7316091954022989,0.22145068796713668
Human,OP,0.5172413793103449,0.29304709848234395
GPT,2C,0.8741379310344828,0.30154850417804435
GPT,4C,0.8758620689655172,0.31640472893622007
GPT,OP,0.7816091954022989,0.35965306596895985
