cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,Human,All,60,51,9,23,37,0,37,Human,All,0.9603622703154779,0.8478617451660525,0,0.23967978692433334,0.24957226489707762
1,Human,All,60,51,9,23,37,0,37,Human,All,0.9603622703154779,0.8478617451660525,0,0.23967978692433334,0.24957226489707762
2,Human,All,60,51,9,23,37,0,37,Human,All,0.9603622703154779,0.8478617451660525,0,0.23967978692433334,0.24957226489707762
3,Human,All,60,51,9,23,37,0,37,Human,All,0.9603622703154779,0.8478617451660525,0,0.23967978692433334,0.24957226489707762
4,Human,All,60,51,9,23,37,0,37,Human,All,0.9603622703154779,0.8478617451660525,0,0.23967978692433334,0.24957226489707762
5,Human,All,60,51,9,23,37,0,37,Human,All,0.9603622703154779,0.8478617451660525,0,0.23967978692433334,0.24957226489707762
6,Human,All,60,51,9,23,37,0,37,Human,All,0.9603622703154779,0.8478617451660525,0,0.23967978692433334,0.24957226489707762
7,Human,All,60,51,9,23,37,0,37,Human,All,0.9603622703154779,0.8478617451660525,0,0.23967978692433334,0.24957226489707762
8,Human,All,60,51,9,23,37,0,37,Human,All,0.9603622703154779,0.8478617451660525,0,0.23967978692433334,0.24957226489707762
9,Human,All,60,51,9,23,37,0,37,Human,All,0.9603622703154779,0.8478617451660525,0,0.23967978692433334,0.24957226489707762
10,Human,All,60,48,12,23,37,0,37,Human,All,0.9603622703154779,0.77655578544446,0,0.3391176419599099,0.35311429076499445
11,Human,All,60,48,12,23,37,0,37,Human,All,0.9603622703154779,0.77655578544446,0,0.3391176419599099,0.35311429076499445
12,Human,All,60,48,12,23,37,0,37,Human,All,0.9603622703154779,0.77655578544446,0,0.3391176419599099,0.35311429076499445
13,Human,All,60,48,12,23,37,0,37,Human,All,0.9603622703154779,0.77655578544446,0,0.3391176419599099,0.35311429076499445
14,Human,All,60,48,12,23,37,0,37,Human,All,0.9603622703154779,0.77655578544446,0,0.3391176419599099,0.35311429076499445
15,Human,All,60,48,12,23,37,0,37,Human,All,0.9603622703154779,0.77655578544446,0,0.3391176419599099,0.35311429076499445
16,Human,All,60,48,12,23,37,0,37,Human,All,0.9603622703154779,0.77655578544446,0,0.3391176419599099,0.35311429076499445
17,Human,All,60,48,12,23,37,0,37,Human,All,0.9603622703154779,0.77655578544446,0,0.3391176419599099,0.35311429076499445
18,Human,All,60,48,12,23,37,0,37,Human,All,0.9603622703154779,0.77655578544446,0,0.3391176419599099,0.35311429076499445
19,Human,All,60,48,12,23,37,0,37,Human,All,0.9603622703154779,0.77655578544446,0,0.3391176419599099,0.35311429076499445
20,Human,All,60,43,17,23,37,3,34,Human,All,0.9603622703154779,0.7401470427139037,0.6722948170756379,0.23944002486574956,0.24932260696486314
21,Human,All,60,43,17,23,37,3,34,Human,All,0.9603622703154779,0.7401470427139037,0.6722948170756379,0.23944002486574956,0.24932260696486314
22,Human,All,60,43,17,23,37,3,34,Human,All,0.9603622703154779,0.7401470427139037,0.6722948170756379,0.23944002486574956,0.24932260696486314
23,Human,All,60,43,17,23,37,3,34,Human,All,0.9603622703154779,0.7401470427139037,0.6722948170756379,0.23944002486574956,0.24932260696486314
24,Human,All,60,43,17,23,37,3,34,Human,All,0.9603622703154779,0.7401470427139037,0.6722948170756379,0.23944002486574956,0.24932260696486314
25,Human,All,60,43,17,23,37,3,34,Human,All,0.9603622703154779,0.7401470427139037,0.6722948170756379,0.23944002486574956,0.24932260696486314
26,Human,All,60,43,17,23,37,3,34,Human,All,0.9603622703154779,0.7401470427139037,0.6722948170756379,0.23944002486574956,0.24932260696486314
27,Human,All,60,43,17,23,37,3,34,Human,All,0.9603622703154779,0.7401470427139037,0.6722948170756379,0.23944002486574956,0.24932260696486314
28,Human,All,60,43,17,23,37,3,34,Human,All,0.9603622703154779,0.7401470427139037,0.6722948170756379,0.23944002486574956,0.24932260696486314
29,Human,All,60,43,17,23,37,3,34,Human,All,0.9603622703154779,0.7401470427139037,0.6722948170756379,0.23944002486574956,0.24932260696486314
30,Human,All,60,36,24,23,37,6,31,Human,All,0.9603622703154779,0.5813214987637028,0.8112781244591328,0.28705812127360314,0.2989060796602358
31,Human,All,60,36,24,23,37,6,31,Human,All,0.9603622703154779,0.5813214987637028,0.8112781244591328,0.28705812127360314,0.2989060796602358
32,Human,All,60,36,24,23,37,6,31,Human,All,0.9603622703154779,0.5813214987637028,0.8112781244591328,0.28705812127360314,0.2989060796602358
33,Human,All,60,36,24,23,37,6,31,Human,All,0.9603622703154779,0.5813214987637028,0.8112781244591328,0.28705812127360314,0.2989060796602358
34,Human,All,60,36,24,23,37,6,31,Human,All,0.9603622703154779,0.5813214987637028,0.8112781244591328,0.28705812127360314,0.2989060796602358
35,Human,All,60,36,24,23,37,6,31,Human,All,0.9603622703154779,0.5813214987637028,0.8112781244591328,0.28705812127360314,0.2989060796602358
36,Human,All,60,36,24,23,37,6,31,Human,All,0.9603622703154779,0.5813214987637028,0.8112781244591328,0.28705812127360314,0.2989060796602358
37,Human,All,60,36,24,23,37,6,31,Human,All,0.9603622703154779,0.5813214987637028,0.8112781244591328,0.28705812127360314,0.2989060796602358
38,Human,All,60,36,24,23,37,6,31,Human,All,0.9603622703154779,0.5813214987637028,0.8112781244591328,0.28705812127360314,0.2989060796602358
