cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,Human,All,60,60,0,18,42,0,42,Human,All,0.8812908992306927,0.8812908992306927,0,0,0
1,Human,All,60,60,0,18,42,0,42,Human,All,0.8812908992306927,0.8812908992306927,0,0,0
2,Human,All,60,60,0,18,42,0,42,Human,All,0.8812908992306927,0.8812908992306927,0,0,0
3,Human,All,60,60,0,18,42,0,42,Human,All,0.8812908992306927,0.8812908992306927,0,0,0
4,Human,All,60,60,0,18,42,0,42,Human,All,0.8812908992306927,0.8812908992306927,0,0,0
5,Human,All,60,60,0,18,42,0,42,Human,All,0.8812908992306927,0.8812908992306927,0,0,0
6,Human,All,60,60,0,18,42,0,42,Human,All,0.8812908992306927,0.8812908992306927,0,0,0
7,Human,All,60,60,0,18,42,0,42,Human,All,0.8812908992306927,0.8812908992306927,0,0,0
8,Human,All,60,60,0,18,42,0,42,Human,All,0.8812908992306927,0.8812908992306927,0,0,0
9,Human,All,60,60,0,18,42,0,42,Human,All,0.8812908992306927,0.8812908992306927,0,0,0
10,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
11,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
12,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
13,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
14,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
15,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
16,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
17,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
18,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
19,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
20,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
21,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
22,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
23,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
24,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
25,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
26,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
27,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
28,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
29,Human,All,60,41,19,18,42,9,33,Human,All,0.8812908992306927,0.7120640548905479,0.9980008838722996,0.07868018182925673,0.08927833238484502
