cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,Human,2C,20,20,0,5,15,0,15,Human,2C,0.8112781244591328,0.8112781244591328,0,0,0
1,Human,2C,20,20,0,5,15,0,15,Human,2C,0.8112781244591328,0.8112781244591328,0,0,0
2,Human,2C,20,20,0,5,15,0,15,Human,2C,0.8112781244591328,0.8112781244591328,0,0,0
3,Human,2C,20,20,0,5,15,0,15,Human,2C,0.8112781244591328,0.8112781244591328,0,0,0
4,Human,2C,20,20,0,5,15,0,15,Human,2C,0.8112781244591328,0.8112781244591328,0,0,0
5,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
6,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
7,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
8,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
9,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
10,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
11,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
12,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
13,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
14,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
15,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
16,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
17,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
18,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
19,Human,2C,20,19,1,5,15,0,15,Human,2C,0.8112781244591328,0.7424875695421236,0,0.1059149333941155,0.1305531730745574
20,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
21,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
22,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
23,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
24,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
25,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
26,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
27,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
28,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
29,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
30,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
31,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
32,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
33,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
34,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
35,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
36,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
37,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
38,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
39,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
40,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
41,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
42,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
43,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
44,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
45,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
46,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
47,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
48,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
49,Human,2C,20,18,2,5,15,1,14,Human,2C,0.8112781244591328,0.7642045065086203,1,0.023494068601374568,0.028959327132156702
50,Human,2C,20,14,6,5,15,3,12,Human,2C,0.8112781244591328,0.5916727785823275,1,0.09710717945150366,0.11969653380737165
51,Human,2C,20,14,6,5,15,3,12,Human,2C,0.8112781244591328,0.5916727785823275,1,0.09710717945150366,0.11969653380737165
52,Human,2C,20,14,6,5,15,3,12,Human,2C,0.8112781244591328,0.5916727785823275,1,0.09710717945150366,0.11969653380737165
53,Human,2C,20,14,6,5,15,3,12,Human,2C,0.8112781244591328,0.5916727785823275,1,0.09710717945150366,0.11969653380737165
54,Human,2C,20,14,6,5,15,3,12,Human,2C,0.8112781244591328,0.5916727785823275,1,0.09710717945150366,0.11969653380737165
55,Human,2C,20,14,6,5,15,3,12,Human,2C,0.8112781244591328,0.5916727785823275,1,0.09710717945150366,0.11969653380737165
56,Human,2C,20,14,6,5,15,3,12,Human,2C,0.8112781244591328,0.5916727785823275,1,0.09710717945150366,0.11969653380737165
57,Human,2C,20,14,6,5,15,3,12,Human,2C,0.8112781244591328,0.5916727785823275,1,0.09710717945150366,0.11969653380737165
58,Human,2C,20,14,6,5,15,3,12,Human,2C,0.8112781244591328,0.5916727785823275,1,0.09710717945150366,0.11969653380737165
59,Human,2C,20,14,6,5,15,3,12,Human,2C,0.8112781244591328,0.5916727785823275,1,0.09710717945150366,0.11969653380737165
60,Human,2C,20,12,8,5,15,5,10,Human,2C,0.8112781244591328,0.6500224216483541,0.954434002924965,0.03949107030013432,0.04867759786628345
61,Human,2C,20,12,8,5,15,5,10,Human,2C,0.8112781244591328,0.6500224216483541,0.954434002924965,0.03949107030013432,0.04867759786628345
62,Human,2C,20,12,8,5,15,5,10,Human,2C,0.8112781244591328,0.6500224216483541,0.954434002924965,0.03949107030013432,0.04867759786628345
63,Human,2C,20,12,8,5,15,5,10,Human,2C,0.8112781244591328,0.6500224216483541,0.954434002924965,0.03949107030013432,0.04867759786628345
64,Human,2C,20,12,8,5,15,5,10,Human,2C,0.8112781244591328,0.6500224216483541,0.954434002924965,0.03949107030013432,0.04867759786628345
65,Human,2C,20,12,8,5,15,5,10,Human,2C,0.8112781244591328,0.6500224216483541,0.954434002924965,0.03949107030013432,0.04867759786628345
66,Human,2C,20,12,8,5,15,5,10,Human,2C,0.8112781244591328,0.6500224216483541,0.954434002924965,0.03949107030013432,0.04867759786628345
67,Human,2C,20,12,8,5,15,5,10,Human,2C,0.8112781244591328,0.6500224216483541,0.954434002924965,0.03949107030013432,0.04867759786628345
68,Human,2C,20,12,8,5,15,5,10,Human,2C,0.8112781244591328,0.6500224216483541,0.954434002924965,0.03949107030013432,0.04867759786628345
69,Human,2C,20,12,8,5,15,5,10,Human,2C,0.8112781244591328,0.6500224216483541,0.954434002924965,0.03949107030013432,0.04867759786628345
70,Human,2C,20,11,9,5,15,6,9,Human,2C,0.8112781244591328,0.6840384356390417,0.9182958340544896,0.021823859533139534,0.026900589175492904
71,Human,2C,20,11,9,5,15,6,9,Human,2C,0.8112781244591328,0.6840384356390417,0.9182958340544896,0.021823859533139534,0.026900589175492904
72,Human,2C,20,11,9,5,15,6,9,Human,2C,0.8112781244591328,0.6840384356390417,0.9182958340544896,0.021823859533139534,0.026900589175492904
73,Human,2C,20,11,9,5,15,6,9,Human,2C,0.8112781244591328,0.6840384356390417,0.9182958340544896,0.021823859533139534,0.026900589175492904
74,Human,2C,20,11,9,5,15,6,9,Human,2C,0.8112781244591328,0.6840384356390417,0.9182958340544896,0.021823859533139534,0.026900589175492904
75,Human,2C,20,11,9,5,15,6,9,Human,2C,0.8112781244591328,0.6840384356390417,0.9182958340544896,0.021823859533139534,0.026900589175492904
76,Human,2C,20,11,9,5,15,6,9,Human,2C,0.8112781244591328,0.6840384356390417,0.9182958340544896,0.021823859533139534,0.026900589175492904
77,Human,2C,20,11,9,5,15,6,9,Human,2C,0.8112781244591328,0.6840384356390417,0.9182958340544896,0.021823859533139534,0.026900589175492904
78,Human,2C,20,11,9,5,15,6,9,Human,2C,0.8112781244591328,0.6840384356390417,0.9182958340544896,0.021823859533139534,0.026900589175492904
79,Human,2C,20,11,9,5,15,6,9,Human,2C,0.8112781244591328,0.6840384356390417,0.9182958340544896,0.021823859533139534,0.026900589175492904
80,Human,2C,20,8,12,5,15,9,6,Human,2C,0.8112781244591328,0.8112781244591328,0.8112781244591328,0,0
81,Human,2C,20,8,12,5,15,9,6,Human,2C,0.8112781244591328,0.8112781244591328,0.8112781244591328,0,0
82,Human,2C,20,8,12,5,15,9,6,Human,2C,0.8112781244591328,0.8112781244591328,0.8112781244591328,0,0
83,Human,2C,20,8,12,5,15,9,6,Human,2C,0.8112781244591328,0.8112781244591328,0.8112781244591328,0,0
84,Human,2C,20,8,12,5,15,9,6,Human,2C,0.8112781244591328,0.8112781244591328,0.8112781244591328,0,0
85,Human,2C,20,8,12,5,15,9,6,Human,2C,0.8112781244591328,0.8112781244591328,0.8112781244591328,0,0
86,Human,2C,20,8,12,5,15,9,6,Human,2C,0.8112781244591328,0.8112781244591328,0.8112781244591328,0,0
87,Human,2C,20,8,12,5,15,9,6,Human,2C,0.8112781244591328,0.8112781244591328,0.8112781244591328,0,0
88,Human,2C,20,8,12,5,15,9,6,Human,2C,0.8112781244591328,0.8112781244591328,0.8112781244591328,0,0
89,Human,2C,20,8,12,5,15,9,6,Human,2C,0.8112781244591328,0.8112781244591328,0.8112781244591328,0,0
90,Human,2C,20,5,15,5,15,11,4,Human,2C,0.8112781244591328,0.7219280948873623,0.8366407419411672,0.0033155442814167824,0.004086815829808313
91,Human,2C,20,5,15,5,15,11,4,Human,2C,0.8112781244591328,0.7219280948873623,0.8366407419411672,0.0033155442814167824,0.004086815829808313
92,Human,2C,20,5,15,5,15,11,4,Human,2C,0.8112781244591328,0.7219280948873623,0.8366407419411672,0.0033155442814167824,0.004086815829808313
93,Human,2C,20,5,15,5,15,11,4,Human,2C,0.8112781244591328,0.7219280948873623,0.8366407419411672,0.0033155442814167824,0.004086815829808313
94,Human,2C,20,5,15,5,15,11,4,Human,2C,0.8112781244591328,0.7219280948873623,0.8366407419411672,0.0033155442814167824,0.004086815829808313
95,Human,2C,20,3,17,5,15,13,2,Human,2C,0.8112781244591328,0.9182958340544896,0.7871265862012691,0.0044761510798807524,0.005517406355391299
96,Human,2C,20,3,17,5,15,13,2,Human,2C,0.8112781244591328,0.9182958340544896,0.7871265862012691,0.0044761510798807524,0.005517406355391299
97,Human,2C,20,3,17,5,15,13,2,Human,2C,0.8112781244591328,0.9182958340544896,0.7871265862012691,0.0044761510798807524,0.005517406355391299
98,Human,2C,20,3,17,5,15,13,2,Human,2C,0.8112781244591328,0.9182958340544896,0.7871265862012691,0.0044761510798807524,0.005517406355391299
99,Human,2C,20,3,17,5,15,13,2,Human,2C,0.8112781244591328,0.9182958340544896,0.7871265862012691,0.0044761510798807524,0.005517406355391299
100,Human,2C,20,0,20,5,15,15,0,Human,2C,0.8112781244591328,0,0.8112781244591328,0,0
