cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
1,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
2,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
3,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
4,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
5,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
6,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
7,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
8,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
9,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
10,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
11,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
12,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
13,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
14,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
15,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
16,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
17,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
18,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
19,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
20,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
21,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
22,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
23,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
24,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
25,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
26,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
27,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
28,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
29,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
30,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
31,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
32,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
33,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
34,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
35,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
36,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
37,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
38,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
39,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
40,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
41,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
42,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
43,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
44,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
45,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
46,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
47,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
48,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
49,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
50,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
51,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
52,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
53,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
54,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
55,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
56,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
57,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
58,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
59,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
60,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
61,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
62,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
63,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
64,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
65,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
66,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
67,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
68,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
69,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
70,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
71,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
72,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
73,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
74,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
75,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
76,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
77,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
78,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
79,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
80,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
81,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
82,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
83,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
84,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
85,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
86,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
87,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
88,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
89,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
90,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
91,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
92,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
93,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
94,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
95,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
96,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
97,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
98,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
99,Human,2C,20,20,0,1,19,0,19,Human,2C,0.28639695711595625,0.28639695711595625,0,0,0
100,Human,2C,20,0,20,1,19,19,0,Human,2C,0.28639695711595625,0,0.28639695711595625,0,0
