cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
1,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
2,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
3,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
4,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
5,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
6,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
7,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
8,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
9,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
10,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
11,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
12,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
13,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
14,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
15,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
16,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
17,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
18,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
19,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
20,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
21,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
22,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
23,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
24,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
25,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
26,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
27,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
28,Human,2C,20,18,2,10,10,1,9,Human,2C,1,1,1,-2.7755575615628914e-17,-2.7755575615628914e-17
